ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
13402-0100-1.zip,202202011043,青ヶ島村,1601-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1601-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1601-3,,
13402-0100-1.zip,202202011043,青ヶ島村,1602,,
13402-0100-1.zip,202202011043,青ヶ島村,1603,,
13402-0100-1.zip,202202011043,青ヶ島村,1604,,
13402-0100-1.zip,202202011043,青ヶ島村,1605-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1605-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1606,,
13402-0100-1.zip,202202011043,青ヶ島村,1607,,
13402-0100-1.zip,202202011043,青ヶ島村,1608,,
13402-0100-1.zip,202202011043,青ヶ島村,1609-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1609-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1610-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1610-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1611-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1611-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1612,,
13402-0100-1.zip,202202011043,青ヶ島村,1613,,
13402-0100-1.zip,202202011043,青ヶ島村,1614,,
13402-0100-1.zip,202202011043,青ヶ島村,1615-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1615-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1615-3,,
13402-0100-1.zip,202202011043,青ヶ島村,1617,,
13402-0100-1.zip,202202011043,青ヶ島村,1618,,
13402-0100-1.zip,202202011043,青ヶ島村,1619-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1619-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1619-3,,
13402-0100-1.zip,202202011043,青ヶ島村,1620,,
13402-0100-1.zip,202202011043,青ヶ島村,1621-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1621-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1622,,
13402-0100-1.zip,202202011043,青ヶ島村,1623,,
13402-0100-1.zip,202202011043,青ヶ島村,1624,,
13402-0100-1.zip,202202011043,青ヶ島村,1625,,
13402-0100-1.zip,202202011043,青ヶ島村,1626,,
13402-0100-1.zip,202202011043,青ヶ島村,1627,,
13402-0100-1.zip,202202011043,青ヶ島村,1628,,
13402-0100-1.zip,202202011043,青ヶ島村,1629,,
13402-0100-1.zip,202202011043,青ヶ島村,1630-1,,
13402-0100-1.zip,202202011043,青ヶ島村,1630-2,,
13402-0100-1.zip,202202011043,青ヶ島村,1630-3,,
13402-0100-1.zip,202202011043,青ヶ島村,1631,,
13402-0100-1.zip,202202011043,青ヶ島村,1632,,
13402-0100-1.zip,202202011043,青ヶ島村,1633,,
13402-0100-1.zip,202202011043,青ヶ島村,1634,,
13402-0100-1.zip,202202011043,青ヶ島村,1650,,
13402-0100-1.zip,202202011043,青ヶ島村,1651,,
13402-0100-1.zip,202202011043,青ヶ島村,1652,,
13402-0100-1.zip,202202011043,青ヶ島村,1653,,
13402-0100-1.zip,202202011043,青ヶ島村,1654,,
13402-0100-1.zip,202202011043,青ヶ島村,1655,,
13402-0100-1.zip,202202011043,青ヶ島村,1656,,
13402-0100-1.zip,202202011043,青ヶ島村,1657,,
13402-0100-1.zip,202202011043,青ヶ島村,1658,,
13402-0100-1.zip,202202011043,青ヶ島村,1659,,
13402-0100-1.zip,202202011043,青ヶ島村,地区外-1474993,,
13402-0100-1.zip,202202011043,青ヶ島村,地区外-1474994,,
13402-0100-1.zip,202202011043,青ヶ島村,地区外-1474995,,
13402-0100-1.zip,202202011043,青ヶ島村,地区外-1474996,,
13402-0100-1.zip,202202011043,青ヶ島村,地区外-1474997,,
13402-0100-1.zip,202202011043,青ヶ島村,地区外-1474998,,
